"train/global_step","elated-frost-33 - _step","elated-frost-33 - _step__MIN","elated-frost-33 - _step__MAX","elated-frost-33 - eval/f1","elated-frost-33 - eval/f1__MIN","elated-frost-33 - eval/f1__MAX"
"7","1","1","1","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"14","3","3","3","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"21","5","5","5","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"28","7","7","7","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"35","9","9","9","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"42","11","11","11","0.39979757085020245","0.39979757085020245","0.39979757085020245"
"49","13","13","13","0.5900452488687783","0.5900452488687783","0.5900452488687783"
"56","15","15","15","0.5900452488687783","0.5900452488687783","0.5900452488687783"
"63","17","17","17","0.6551510989010989","0.6551510989010989","0.6551510989010989"
"70","19","19","19","0.7067174760723147","0.7067174760723147","0.7067174760723147"
"77","21","21","21","0.7616625310173698","0.7616625310173698","0.7616625310173698"
"84","23","23","23","0.7616625310173698","0.7616625310173698","0.7616625310173698"
"91","25","25","25","0.8102564102564104","0.8102564102564104","0.8102564102564104"
"98","27","27","27","0.7616625310173698","0.7616625310173698","0.7616625310173698"
"105","29","29","29","0.8102564102564104","0.8102564102564104","0.8102564102564104"
"112","31","31","31","0.8102564102564104","0.8102564102564104","0.8102564102564104"
"119","33","33","33","0.8102564102564104","0.8102564102564104","0.8102564102564104"
"126","35","35","35","0.8102564102564104","0.8102564102564104","0.8102564102564104"
"133","37","37","37","0.8102564102564104","0.8102564102564104","0.8102564102564104"
"140","39","39","39","0.8102564102564104","0.8102564102564104","0.8102564102564104"