"train/global_step","spring-dream-5 - _step","spring-dream-5 - _step__MIN","spring-dream-5 - _step__MAX","spring-dream-5 - eval/f1_main","spring-dream-5 - eval/f1_main__MIN","spring-dream-5 - eval/f1_main__MAX"
"43","1","1","1","0.15713700730413585","0.15713700730413585","0.15713700730413585"
"86","3","3","3","0.4983497705302217","0.4983497705302217","0.4983497705302217"
"129","5","5","5","0.7066828223398398","0.7066828223398398","0.7066828223398398"
"172","7","7","7","0.7869635350392029","0.7869635350392029","0.7869635350392029"
"215","9","9","9","0.8350871164875927","0.8350871164875927","0.8350871164875927"
"258","11","11","11","0.8824167065200064","0.8824167065200064","0.8824167065200064"
"301","13","13","13","0.8819562033365484","0.8819562033365484","0.8819562033365484"
"344","15","15","15","0.8828465651995063","0.8828465651995063","0.8828465651995063"
"387","17","17","17","0.8947428246660984","0.8947428246660984","0.8947428246660984"
"430","19","19","19","0.8599330802170557","0.8599330802170557","0.8599330802170557"
"473","21","21","21","0.8823034403102056","0.8823034403102056","0.8823034403102056"
"516","23","23","23","0.8833122496310353","0.8833122496310353","0.8833122496310353"
"559","25","25","25","0.8721216691804928","0.8721216691804928","0.8721216691804928"
"602","27","27","27","0.893844967490183","0.893844967490183","0.893844967490183"
"645","29","29","29","0.893844967490183","0.893844967490183","0.893844967490183"
"688","31","31","31","0.8698295596343387","0.8698295596343387","0.8698295596343387"
"731","33","33","33","0.8698295596343387","0.8698295596343387","0.8698295596343387"
"774","35","35","35","0.8698295596343387","0.8698295596343387","0.8698295596343387"
"817","37","37","37","0.8698295596343387","0.8698295596343387","0.8698295596343387"
"860","40","39","41","0.8698295596343387","0.8698295596343387","0.8698295596343387"