"train/global_step","twilight-flower-36 - _step","twilight-flower-36 - _step__MIN","twilight-flower-36 - _step__MAX","twilight-flower-36 - eval/f1","twilight-flower-36 - eval/f1__MIN","twilight-flower-36 - eval/f1__MAX"
"5","1","1","1","0.10964912280701755","0.10964912280701755","0.10964912280701755"
"10","3","3","3","0.10964912280701755","0.10964912280701755","0.10964912280701755"
"15","5","5","5","0.10964912280701755","0.10964912280701755","0.10964912280701755"
"20","7","7","7","0.2305764411027569","0.2305764411027569","0.2305764411027569"
"25","9","9","9","0.3157894736842105","0.3157894736842105","0.3157894736842105"
"30","11","11","11","0.3076770874554808","0.3076770874554808","0.3076770874554808"
"35","13","13","13","0.412593984962406","0.412593984962406","0.412593984962406"
"40","15","15","15","0.412593984962406","0.412593984962406","0.412593984962406"
"45","17","17","17","0.4978070175438597","0.4978070175438597","0.4978070175438597"
"50","19","19","19","0.5038220551378446","0.5038220551378446","0.5038220551378446"
"55","21","21","21","0.4978070175438597","0.4978070175438597","0.4978070175438597"
"60","23","23","23","0.5147869674185465","0.5147869674185465","0.5147869674185465"
"65","25","25","25","0.5147869674185465","0.5147869674185465","0.5147869674185465"
"70","27","27","27","0.5147869674185465","0.5147869674185465","0.5147869674185465"
"75","29","29","29","0.5147869674185465","0.5147869674185465","0.5147869674185465"
"80","31","31","31","0.5674185463659148","0.5674185463659148","0.5674185463659148"
"85","33","33","33","0.6140350877192983","0.6140350877192983","0.6140350877192983"
"90","35","35","35","0.6140350877192983","0.6140350877192983","0.6140350877192983"
"95","37","37","37","0.6140350877192983","0.6140350877192983","0.6140350877192983"
"100","39","39","39","0.6140350877192983","0.6140350877192983","0.6140350877192983"