"train/global_step","cosmic-wind-37 - _step","cosmic-wind-37 - _step__MIN","cosmic-wind-37 - _step__MAX","cosmic-wind-37 - eval/f1","cosmic-wind-37 - eval/f1__MIN","cosmic-wind-37 - eval/f1__MAX"
"6","1","1","1","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"12","3","3","3","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"18","5","5","5","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"24","7","7","7","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"30","9","9","9","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"36","11","11","11","0.4809042809042809","0.4809042809042809","0.4809042809042809"
"42","13","13","13","0.5158063225290116","0.5158063225290116","0.5158063225290116"
"48","15","15","15","0.5419501133786847","0.5419501133786847","0.5419501133786847"
"54","17","17","17","0.6029581529581529","0.6029581529581529","0.6029581529581529"
"60","19","19","19","0.6093073593073592","0.6093073593073592","0.6093073593073592"
"66","21","21","21","0.6785714285714286","0.6785714285714286","0.6785714285714286"
"72","23","23","23","0.6785714285714286","0.6785714285714286","0.6785714285714286"
"78","25","25","25","0.6785714285714286","0.6785714285714286","0.6785714285714286"
"84","27","27","27","0.6785714285714286","0.6785714285714286","0.6785714285714286"
"90","29","29","29","0.6785714285714286","0.6785714285714286","0.6785714285714286"
"96","31","31","31","0.7166666666666667","0.7166666666666667","0.7166666666666667"
"102","33","33","33","0.7166666666666667","0.7166666666666667","0.7166666666666667"
"108","35","35","35","0.6785714285714286","0.6785714285714286","0.6785714285714286"
"114","37","37","37","0.7166666666666667","0.7166666666666667","0.7166666666666667"
"120","39","39","39","0.7166666666666667","0.7166666666666667","0.7166666666666667"